# Time (s),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reference length (cm),Reference area (cm²)
0,90,2993.232,807,0.302,0.003,NaN,47.265,0,0.705,0.568,0.017,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.01,89.371,2992.482,806.251,0.302,0.003,NaN,47.257,64.111,0.705,0.568,0.017,0.12,2.333e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.02,83.856,2991.733,805.502,0.302,0.003,NaN,47.25,128.222,0.705,0.568,0.017,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.03,73.394,2990.984,804.753,0.302,0.003,NaN,47.242,192.334,0.7,0.564,0.017,0.12,0.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.249,0.001,340.389,0.007,6.4,32.17
0.042,56.869,2990.085,803.854,0.301,0.003,NaN,47.233,269.267,0.683,0.546,0.017,0.12,0.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.248,0.001,340.389,0.008,6.4,32.17
0.045,52.777,2989.685,803.454,0.301,0.003,NaN,47.229,326.466,0.677,0.54,0.017,0.12,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.008,6.4,32.17
0.048,47.389,2989.104,802.872,0.301,0.003,NaN,47.222,311.56,0.667,0.53,0.017,0.12,0.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.009,6.4,32.17
0.054,41.164,2988.231,802,0.301,0.003,NaN,47.213,289.2,0.653,0.516,0.017,0.12,0.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.245,0.001,340.389,0.01,6.4,32.17
0.062,34.711,2986.923,800.691,0.301,0.003,NaN,47.2,255.66,0.636,0.499,0.017,0.12,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.242,0.001,340.389,0.012,6.4,32.17
0.07,30.755,2985.73,799.499,0.301,0.003,NaN,47.187,225.102,0.624,0.487,0.017,0.12,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.239,0.001,340.389,0.013,6.4,32.17
0.08,27.052,2984.541,798.31,0.301,0.003,NaN,47.175,214.247,0.611,0.474,0.017,0.12,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.234,0.001,340.388,0.015,6.4,32.17
0.091,24.009,2983.233,797.002,0.301,0.003,NaN,47.162,202.307,0.599,0.462,0.017,0.12,0.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.228,0.001,340.388,0.017,6.4,32.17
0.101,21.779,2982.019,795.788,0.301,0.003,NaN,47.149,208.8,0.59,0.453,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.221,0.001,340.388,0.018,6.4,32.17
0.111,19.768,2980.805,794.573,0.301,0.003,NaN,47.136,215.294,0.581,0.444,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.214,0.001,340.388,0.02,6.4,32.17
0.121,18.018,2979.591,793.359,0.3,0.003,NaN,47.124,221.787,0.573,0.436,0.017,0.12,0.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.206,0.001,340.387,0.022,6.4,32.17
0.131,16.488,2978.377,792.145,0.3,0.003,NaN,47.111,228.281,0.566,0.429,0.017,0.12,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.198,0.001,340.387,0.023,6.4,32.17
0.14,15.27,2977.284,791.053,0.3,0.003,NaN,47.1,234.125,0.559,0.422,0.017,0.12,0.722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.189,0.001,340.387,0.025,6.4,32.17
0.15,14.078,2975.95,789.718,0.3,0.003,NaN,47.086,235.963,0.553,0.415,0.017,0.12,0.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.179,0.001,340.387,0.027,6.4,32.17
0.16,13.1,2974.615,788.384,0.3,0.003,NaN,47.072,237.801,0.546,0.409,0.017,0.12,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.169,0.001,340.386,0.029,6.4,32.17
0.17,12.24,2973.281,787.049,0.3,0.003,NaN,47.058,239.64,0.541,0.404,0.017,0.12,0.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.157,0.001,340.386,0.031,6.4,32.17
0.18,11.503,2971.991,785.759,0.3,0.003,NaN,47.044,241.417,0.536,0.398,0.017,0.12,0.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.145,0.001,340.385,0.033,6.4,32.17
0.189,10.882,2970.781,784.549,0.299,0.003,59.079,47.031,243.084,0.532,0.395,0.017,0.12,0.645,3.377,6.357,3.926e-4,0,1.225,1.225,0,0,1013.133,0.001,340.385,0.035,6.4,32.17
0.193,10.604,2970.212,783.98,0.299,0.003,59.145,47.025,243.868,0.532,0.395,0.017,0.12,0.641,3.274,6.2,-4.976e-4,0,1.225,1.225,0,5.367e-6,1013.127,0.001,340.385,0.036,6.4,32.17
0.197,10.351,2969.67,783.439,0.299,0.003,59.206,47.02,244.614,0.532,0.395,0.017,0.12,0.638,3.181,6.058,4.381e-4,0,1.225,1.225,0,1.997e-5,1013.121,0.001,340.385,0.037,6.4,32.17
0.202,10.047,2969.011,782.78,0.299,0.003,59.28,47.013,245.522,0.532,0.395,0.017,0.12,0.633,3.071,5.886,-1.49e-4,0,1.185,1.225,0.039,4.937e-5,1013.114,0.001,340.384,0.038,6.4,32.17
