# Time (s),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reference length (cm),Reference area (cm²)
0,90,2993.264,807,0.302,0.003,NaN,47.266,0,0.705,0.568,0.017,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.01,89.371,2992.515,806.251,0.302,0.003,NaN,47.258,64.111,0.705,0.568,0.017,0.12,2.332e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.02,83.856,2991.766,805.502,0.302,0.003,NaN,47.25,128.222,0.705,0.568,0.017,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.03,73.394,2991.017,804.753,0.302,0.003,NaN,47.242,192.334,0.7,0.564,0.017,0.12,0.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.249,0.001,340.389,0.007,6.4,32.17
0.042,56.869,2990.118,803.854,0.301,0.003,NaN,47.233,269.267,0.683,0.546,0.017,0.12,0.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.248,0.001,340.389,0.008,6.4,32.17
0.045,52.777,2989.718,803.454,0.301,0.003,NaN,47.229,326.466,0.677,0.54,0.017,0.12,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.008,6.4,32.17
0.048,47.389,2989.136,802.872,0.301,0.003,NaN,47.223,311.56,0.667,0.53,0.017,0.12,0.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.009,6.4,32.17
0.054,41.164,2988.264,802,0.301,0.003,NaN,47.214,289.2,0.653,0.516,0.017,0.12,0.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.245,0.001,340.389,0.01,6.4,32.17
0.062,34.711,2986.955,800.691,0.301,0.003,NaN,47.2,255.66,0.636,0.499,0.017,0.12,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.242,0.001,340.389,0.012,6.4,32.17
0.07,30.755,2985.763,799.499,0.301,0.003,NaN,47.188,225.102,0.624,0.487,0.017,0.12,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.239,0.001,340.389,0.013,6.4,32.17
0.08,27.052,2984.574,798.31,0.301,0.003,NaN,47.176,214.247,0.611,0.474,0.017,0.12,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.234,0.001,340.388,0.015,6.4,32.17
0.091,24.01,2983.266,797.002,0.301,0.003,NaN,47.162,202.307,0.599,0.462,0.017,0.12,0.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.228,0.001,340.388,0.017,6.4,32.17
0.101,21.78,2982.052,795.788,0.301,0.003,NaN,47.149,208.8,0.59,0.453,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.221,0.001,340.388,0.018,6.4,32.17
0.111,19.768,2980.838,794.573,0.301,0.003,NaN,47.137,215.294,0.581,0.444,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.214,0.001,340.388,0.02,6.4,32.17
0.121,18.018,2979.624,793.359,0.3,0.003,NaN,47.124,221.787,0.573,0.436,0.017,0.12,0.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.206,0.001,340.387,0.022,6.4,32.17
0.131,16.488,2978.41,792.145,0.3,0.003,NaN,47.111,228.281,0.566,0.429,0.017,0.12,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.198,0.001,340.387,0.023,6.4,32.17
0.14,15.27,2977.317,791.053,0.3,0.003,NaN,47.1,234.125,0.559,0.422,0.017,0.12,0.722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.189,0.001,340.387,0.025,6.4,32.17
0.15,14.079,2975.982,789.718,0.3,0.003,NaN,47.086,235.963,0.553,0.415,0.017,0.12,0.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.179,0.001,340.387,0.027,6.4,32.17
0.16,13.1,2974.648,788.384,0.3,0.003,NaN,47.072,237.801,0.546,0.409,0.017,0.12,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.169,0.001,340.386,0.029,6.4,32.17
0.17,12.24,2973.314,787.049,0.3,0.003,NaN,47.058,239.64,0.541,0.404,0.017,0.12,0.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.157,0.001,340.386,0.031,6.4,32.17
0.18,11.503,2972.023,785.759,0.3,0.003,NaN,47.045,241.417,0.536,0.399,0.017,0.12,0.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.145,0.001,340.385,0.033,6.4,32.17
0.189,10.882,2970.813,784.549,0.299,0.003,59.079,47.032,243.084,0.532,0.395,0.017,0.12,0.645,3.377,6.357,-3.843e-4,0,1.575,1.575,0,0,1013.133,0.001,340.385,0.035,6.4,32.17
0.192,10.665,2970.371,784.106,0.299,0.003,59.131,47.027,243.694,0.532,0.395,0.017,0.12,0.642,3.297,6.235,-1.524e-4,0,1.575,1.575,0,3.265e-6,1013.128,0.001,340.385,0.036,6.4,32.17
0.195,10.463,2969.945,783.681,0.299,0.003,59.179,47.023,244.281,0.532,0.395,0.017,0.12,0.639,3.223,6.121,2.427e-4,0,1.575,1.575,0,1.234e-5,1013.124,0.001,340.385,0.036,6.4,32.17
0.198,10.275,2969.535,783.27,0.299,0.003,59.225,47.018,244.846,0.532,0.395,0.017,0.12,0.637,3.154,6.015,3.028e-4,0,1.538,1.575,0.036,2.63e-5,1013.119,0.001,340.385,0.037,6.4,32.17
0.202,10.047,2969.044,782.78,0.299,0.003,59.28,47.013,245.522,0.532,0.395,0.017,0.12,0.633,3.071,5.885,4.712e-4,0,1.525,1.575,0.05,4.937e-5,1013.114,0.001,340.384,0.038,6.4,32.17
0.205,9.864,2968.662,782.398,0.299,0.003,59.325,47.009,245.028,0.532,0.395,0.017,0.12,0.631,3.005,5.782,2.079e-5,0,1.514,1.575,0.061,7.252e-5,1013.109,0.001,340.384,0.038,6.4,32.17
0.208,9.692,2968.29,782.026,0.299,0.003,59.368,47.005,244.546,0.532,0.395,0.017,0.12,0.629,2.943,5.685,-1.516e-4,0,1.503,1.575,0.071,9.891e-5,1013.105,0.001,340.384,0.039,6.4,32.17
0.211,9.529,2967.927,781.663,0.299,0.003,59.409,47.002,244.076,0.532,0.395,0.017,0.12,0.626,2.884,5.592,-7.165e-5,0,1.493,1.575,0.082,1.281e-4,1013.101,0.001,340.384,0.04,6.4,32.17
0.213,9.375,2967.573,781.308,0.299,0.003,59.448,46.998,243.617,0.532,0.395,0.017,0.12,0.624,2.829,5.504,4.302e-4,0,1.483,1.575,0.092,1.599e-4,1013.096,0.001,340.384,0.04,6.4,32.17
