# Time (s),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reference length (cm),Reference area (cm²)
0,90,2993.155,807,0.302,0.003,NaN,47.264,0,0.705,0.568,0.017,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.01,89.371,2992.406,806.251,0.302,0.003,NaN,47.256,64.111,0.705,0.568,0.017,0.12,2.333e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.02,83.856,2991.657,805.502,0.302,0.003,NaN,47.249,128.222,0.705,0.568,0.017,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.03,73.393,2990.908,804.753,0.302,0.003,NaN,47.241,192.334,0.7,0.564,0.017,0.12,0.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.249,0.001,340.389,0.007,6.4,32.17
0.042,56.868,2990.009,803.854,0.301,0.003,NaN,47.232,269.267,0.683,0.546,0.017,0.12,0.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.248,0.001,340.389,0.008,6.4,32.17
0.045,52.776,2989.609,803.454,0.301,0.003,NaN,47.227,326.466,0.677,0.54,0.017,0.12,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.008,6.4,32.17
0.048,47.388,2989.027,802.872,0.301,0.003,NaN,47.221,311.56,0.667,0.53,0.017,0.12,0.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.009,6.4,32.17
0.054,41.163,2988.155,802,0.301,0.003,NaN,47.212,289.2,0.653,0.516,0.017,0.12,0.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.245,0.001,340.389,0.01,6.4,32.17
0.062,34.71,2986.846,800.691,0.301,0.003,NaN,47.199,255.66,0.636,0.499,0.017,0.12,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.242,0.001,340.389,0.012,6.4,32.17
0.07,30.754,2985.654,799.499,0.301,0.003,NaN,47.186,225.102,0.624,0.487,0.017,0.12,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.239,0.001,340.389,0.013,6.4,32.17
0.08,27.051,2984.465,798.31,0.301,0.003,NaN,47.174,214.247,0.611,0.474,0.017,0.12,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.234,0.001,340.388,0.015,6.4,32.17
0.091,24.009,2983.157,797.002,0.301,0.003,NaN,47.16,202.307,0.599,0.462,0.017,0.12,0.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.228,0.001,340.388,0.017,6.4,32.17
0.101,21.779,2981.943,795.788,0.301,0.003,NaN,47.148,208.8,0.59,0.453,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.221,0.001,340.388,0.018,6.4,32.17
0.111,19.767,2980.729,794.573,0.3,0.003,NaN,47.135,215.294,0.581,0.444,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.214,0.001,340.388,0.02,6.4,32.17
0.121,18.018,2979.515,793.359,0.3,0.003,NaN,47.123,221.787,0.573,0.436,0.017,0.12,0.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.206,0.001,340.387,0.022,6.4,32.17
0.131,16.487,2978.3,792.145,0.3,0.003,NaN,47.11,228.281,0.566,0.428,0.017,0.12,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.198,0.001,340.387,0.023,6.4,32.17
0.14,15.269,2977.208,791.053,0.3,0.003,NaN,47.098,234.125,0.559,0.422,0.017,0.12,0.722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.189,0.001,340.387,0.025,6.4,32.17
0.15,14.078,2975.873,789.718,0.3,0.003,NaN,47.085,235.963,0.553,0.415,0.017,0.12,0.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.179,0.001,340.387,0.027,6.4,32.17
0.16,13.1,2974.539,788.384,0.3,0.003,NaN,47.071,237.801,0.546,0.409,0.017,0.12,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.169,0.001,340.386,0.029,6.4,32.17
0.17,12.24,2973.205,787.049,0.3,0.003,NaN,47.057,239.64,0.541,0.404,0.017,0.12,0.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.157,0.001,340.386,0.031,6.4,32.17
0.18,11.502,2971.914,785.759,0.3,0.003,NaN,47.043,241.417,0.536,0.398,0.017,0.12,0.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.145,0.001,340.385,0.033,6.4,32.17
0.189,10.881,2970.704,784.549,0.299,0.003,59.062,47.03,243.084,0.532,0.395,0.017,0.12,0.644,3.377,6.347,3.317e-4,0,0.175,0.175,0,0,1013.133,0.001,340.385,0.035,6.4,32.17
0.202,10.046,2968.935,782.78,0.299,0.003,59.263,47.012,245.522,0.532,0.395,0.017,0.12,0.633,3.07,5.877,3.67e-4,0,0.175,0.175,0,4.92e-5,1013.114,0.001,340.384,0.038,6.4,32.17
0.222,8.918,2966.354,780.199,0.299,0.003,59.548,46.985,242.18,0.532,0.395,0.017,0.12,0.618,2.668,5.237,-2.537e-4,0,0.175,0.175,0,2.77e-4,1013.083,0.001,340.383,0.042,6.4,32.17
0.243,7.955,2963.657,777.502,0.299,0.003,59.803,46.956,238.688,0.532,0.395,0.017,0.12,0.604,2.336,4.688,6.499e-5,0,0.175,0.175,0,6.659e-4,1013.046,0.001,340.382,0.046,6.4,32.17
0.26,7.314,2961.439,775.284,0.299,0.003,59.979,46.933,235.816,0.532,0.395,0.017,0.12,0.596,2.121,4.322,-4.764e-4,0,0.145,0.175,0.03,0.001,1013.014,0.001,340.381,0.05,6.4,32.17
0.278,6.752,2959.125,772.969,0.298,0.003,60.138,46.908,232.819,0.532,0.395,0.017,0.12,0.588,1.936,4,2.747e-4,0,0.138,0.175,0.037,0.002,1012.978,0.001,340.38,0.053,6.4,32.17
0.294,6.296,2957.016,770.861,0.298,0.003,60.271,46.886,230.09,0.533,0.395,0.017,0.12,0.582,1.788,3.738,-2.773e-5,0,0.132,0.175,0.043,0.002,1012.942,0.001,340.379,0.056,6.4,32.17
0.309,5.952,2955.058,768.903,0.298,0.003,60.372,46.865,227.554,0.533,0.395,0.018,0.12,0.578,1.679,3.541,-2.87e-4,0,0.127,0.175,0.048,0.003,1012.908,0.001,340.377,0.059,6.4,32.17
0.323,5.678,2953.215,767.06,0.298,0.003,60.455,46.846,225.168,0.533,0.395,0.018,0.121,0.574,1.593,3.384,-1.868e-4,0,0.122,0.175,0.053,0.003,1012.873,0.001,340.376,0.062,6.4,32.17
0.337,5.433,2951.462,765.307,0.298,0.003,60.529,46.827,222.898,0.533,0.395,0.018,0.121,0.572,1.516,3.243,1.113e-4,0,0.117,0.175,0.058,0.004,1012.839,0.001,340.375,0.065,6.4,32.17
0.349,5.22,2949.864,763.708,0.297,0.003,60.595,46.81,220.828,0.533,0.395,0.018,0.121,0.569,1.45,3.12,-2.624e-4,0,0.112,0.175,0.062,0.004,1012.807,0.001,340.374,0.067,6.4,32.17
0.362,4.939,2948.389,762.234,0.297,0.003,60.682,46.794,219.495,0.533,0.395,0.018,0.121,0.566,1.364,2.956,-4.573e-4,0,0.108,0.175,0.067,0.005,1012.773,0.001,340.373,0.07,6.4,32.17
0.374,4.671,2946.959,760.804,0.297,0.003,60.767,46.779,218.202,0.533,0.395,0.018,0.121,0.563,1.283,2.799,-3.736e-4,0,0.104,0.175,0.071,0.005,1012.739,0.001,340.372,0.072,6.4,32.17
0.386,4.419,2945.566,759.41,0.297,0.003,60.847,46.764,216.941,0.533,0.395,0.018,0.121,0.56,1.207,2.651,-3.423e-4,0,0.1,0.175,0.075,0.006,1012.704,0.001,340.371,0.074,6.4,32.17
0.397,4.181,2944.203,758.048,0.297,0.003,60.924,46.75,215.709,0.533,0.395,0.018,0.121,0.558,1.136,2.511,-7.159e-5,0,0.096,0.175,0.079,0.006,1012.67,0.001,340.369,0.076,6.4,32.17
0.408,3.954,2942.866,756.711,0.297,0.003,60.998,46.736,214.5,0.534,0.395,0.018,0.121,0.556,1.07,2.376,3.307e-4,0,0.093,0.175,0.082,0.007,1012.635,0.001,340.368,0.078,6.4,32.17
0.42,3.737,2941.551,755.396,0.296,0.003,61.07,46.721,213.311,0.534,0.395,0.018,0.121,0.554,1.006,2.248,-2.998e-4,0,0.089,0.175,0.086,0.007,1012.6,0.001,340.367,0.08,6.4,32.17
0.431,3.527,2940.254,754.099,0.296,0.003,61.14,46.708,212.139,0.534,0.395,0.018,0.121,0.552,0.945,2.124,2.17e-4,0,0.086,0.175,0.089,0.008,1012.564,0.001,340.366,0.082,6.4,32.17
0.442,3.324,2938.973,752.817,0.296,0.003,61.209,46.694,210.98,0.534,0.395,0.018,0.121,0.55,0.887,2.003,-1.953e-4,0,0.083,0.175,0.092,0.008,1012.528,0.001,340.365,0.084,6.4,32.17
0.452,3.137,2937.703,751.548,0.296,0.003,61.272,46.68,209.832,0.534,0.395,0.018,0.121,0.548,0.834,1.892,-2.804e-4,0,0.08,0.175,0.095,0.009,1012.491,0.001,340.363,0.086,6.4,32.17
0.463,2.994,2936.444,750.289,0.296,0.003,61.322,46.667,208.694,0.534,0.395,0.019,0.121,0.547,0.793,1.807,-2.288e-4,0,0.077,0.175,0.098,0.009,1012.454,0.001,340.362,0.088,6.4,32.17
0.474,2.852,2935.193,749.038,0.296,0.003,61.371,46.653,207.562,0.534,0.395,0.019,0.121,0.546,0.753,1.722,-1.342e-4,0,0.074,0.175,0.101,0.01,1012.416,0.001,340.361,0.09,6.4,32.17
0.484,2.71,2933.948,747.793,0.296,0.003,61.42,46.64,206.436,0.534,0.395,0.019,0.121,0.545,0.713,1.638,-1.857e-4,0,0.071,0.175,0.104,0.01,1012.378,0.001,340.36,0.092,6.4,32.17
0.495,2.57,2932.707,746.552,0.296,0.003,61.47,46.627,205.314,0.534,0.394,0.019,0.121,0.544,0.674,1.553,-4.051e-4,0,0.069,0.175,0.107,0.01,1012.339,0.001,340.358,0.094,6.4,32.17
0.505,2.381,2931.469,745.314,0.295,0.003,61.536,46.613,204.195,0.535,0.394,0.019,0.121,0.543,0.622,1.44,-4.859e-4,0,0.066,0.175,0.109,0.011,1012.299,0.001,340.357,0.096,6.4,32.17
0.516,2.148,2930.231,744.076,0.295,0.003,61.619,46.6,203.076,0.535,0.394,0.019,0.121,0.542,0.558,1.3,-4.506e-5,0,0.063,0.175,0.112,0.011,1012.259,0.001,340.356,0.097,6.4,32.17
0.523,1.99,2929.381,743.226,0.295,0.003,61.676,46.591,202.307,0.535,0.394,0.019,0.121,0.541,0.516,1.204,-3.441e-4,0,0.062,0.175,0.113,0.011,1012.231,0.001,340.355,0.099,6.4,32.17
0.534,1.763,2928.251,742.096,0.295,0.003,61.759,46.578,201.67,0.535,0.394,0.019,0.121,0.54,0.454,1.066,-2.895e-4,0,0.059,0.175,0.116,0.011,1012.189,0.001,340.353,0.101,6.4,32.17
0.544,1.539,2927.118,740.963,0.295,0.003,61.841,46.566,201.031,0.535,0.394,0.019,0.121,0.539,0.395,0.931,-2.698e-4,0,0.057,0.175,0.118,0.011,1012.146,0.001,340.352,0.102,6.4,32.17
0.555,1.358,2925.981,739.826,0.295,0.003,61.909,46.554,200.39,0.535,0.394,0.019,0.121,0.538,0.347,0.82,-1.397e-4,0,0.055,0.175,0.12,0.011,1012.103,0.001,340.35,0.104,6.4,32.17
0.565,1.226,2924.84,738.685,0.295,0.003,61.958,46.542,199.746,0.535,0.394,0.019,0.121,0.538,0.312,0.741,-4.071e-4,0,0.053,0.175,0.122,0.011,1012.058,0.001,340.349,0.106,6.4,32.17
0.576,1.096,2923.693,737.538,0.295,0.003,62.007,46.529,199.099,0.535,0.394,0.019,0.122,0.537,0.278,0.662,-4.352e-4,0,0.051,0.175,0.124,0.011,1012.013,0.001,340.347,0.108,6.4,32.17
0.587,0.966,2922.541,736.385,0.294,0.003,62.057,46.517,198.449,0.535,0.394,0.02,0.122,0.537,0.244,0.582,-2.143e-4,0,0.049,0.175,0.126,0.011,1011.966,0.001,340.346,0.11,6.4,32.17
0.598,0.837,2921.381,735.226,0.294,0.003,62.106,46.504,197.795,0.536,0.394,0.02,0.122,0.537,0.211,0.504,-1.573e-5,0,0.047,0.175,0.128,0.011,1011.918,0.001,340.344,0.111,6.4,32.17
0.608,0.662,2920.214,734.059,0.294,0.003,62.174,46.491,197.137,0.536,0.394,0.02,0.122,0.536,0.166,0.397,1.662e-5,0,0.045,0.175,0.13,0.01,1011.87,0.001,340.343,0.113,6.4,32.17
0.619,0.481,2919.039,732.883,0.294,0.003,62.244,46.479,196.474,0.536,0.394,0.02,0.122,0.536,0.12,0.288,-4.733e-4,0,0.043,0.175,0.132,0.009,1011.82,0.001,340.341,0.115,6.4,32.17
0.63,0.322,2917.854,731.698,0.294,0.003,62.306,46.466,195.806,0.536,0.394,0.02,0.122,0.536,0.08,0.193,3.005e-4,0,0.042,0.175,0.134,0.005,1011.769,0.001,340.339,0.117,6.4,32.17
0.642,0.228,2916.658,730.503,0.294,0.003,62.344,46.453,195.132,0.536,0.394,0.02,0.122,0.536,0.057,0.141,6.153e-6,0,0.04,0.175,0.135,1.586e-4,1011.716,0.001,340.337,0.119,6.4,32.17
0.653,0.265,2915.452,729.297,0.294,0.003,62.33,46.44,194.452,0.536,0.394,0.02,0.122,0.537,0.066,0.167,2.6e-4,0,0.038,0.175,0.137,-0.003,1011.663,0.001,340.336,0.121,6.4,32.17
0.664,0.366,2914.235,728.079,0.294,0.003,62.291,46.426,193.765,0.537,0.394,0.02,0.122,0.537,0.091,0.234,2.113e-4,0,0.037,0.175,0.138,-0.007,1011.608,0.001,340.334,0.123,6.4,32.17
0.676,0.488,2913.005,726.85,0.293,0.003,62.244,46.413,193.072,0.537,0.394,0.02,0.122,0.537,0.122,0.31,8.637e-5,0,0.035,0.175,0.14,-0.008,1011.551,0.001,340.332,0.124,6.4,32.17
0.687,0.616,2911.763,725.608,0.293,0.003,62.196,46.399,192.372,0.537,0.394,0.021,0.122,0.537,0.155,0.39,3.836e-4,0,0.034,0.175,0.141,-0.008,1011.494,0.001,340.33,0.126,6.4,32.17
0.699,0.744,2910.508,724.353,0.293,0.003,62.147,46.386,191.664,0.537,0.394,0.021,0.122,0.538,0.187,0.469,-3.392e-4,0,0.033,0.175,0.143,-0.008,1011.434,0.001,340.328,0.128,6.4,32.17
0.711,0.879,2909.24,723.084,0.293,0.003,62.096,46.372,190.948,0.537,0.394,0.021,0.122,0.538,0.222,0.554,1.064e-4,0,0.031,0.175,0.144,-0.008,1011.373,0.001,340.326,0.13,6.4,32.17
0.723,1.011,2907.957,721.801,0.293,0.003,62.047,46.358,190.225,0.537,0.394,0.021,0.122,0.539,0.256,0.636,3.356e-4,0,0.03,0.175,0.145,-0.007,1011.311,0.001,340.324,0.132,6.4,32.17
0.735,1.139,2906.659,720.503,0.293,0.003,62,46.344,189.493,0.538,0.394,0.021,0.122,0.54,0.289,0.715,1.034e-4,0,0.029,0.175,0.147,-0.007,1011.247,0.001,340.322,0.134,6.4,32.17
0.747,1.26,2905.345,719.19,0.293,0.003,61.955,46.329,188.752,0.538,0.394,0.021,0.122,0.54,0.321,0.79,-1.246e-4,0,0.028,0.175,0.148,-0.006,1011.181,0.001,340.319,0.136,6.4,32.17
0.759,1.354,2904.016,717.861,0.293,0.003,61.921,46.315,188.003,0.538,0.394,0.021,0.122,0.541,0.346,0.849,4.48e-4,0,0.027,0.175,0.149,-0.005,1011.113,0.001,340.317,0.138,6.4,32.17
0.772,1.434,2902.671,716.516,0.292,0.003,61.892,46.3,187.244,0.538,0.394,0.021,0.123,0.541,0.367,0.9,5.927e-5,0,0.025,0.175,0.15,-0.005,1011.044,0.001,340.315,0.14,6.4,32.17
0.785,1.506,2901.309,715.154,0.292,0.003,61.866,46.285,186.476,0.538,0.394,0.022,0.123,0.542,0.386,0.944,-3.177e-4,0,0.024,0.175,0.151,-0.004,1010.973,0.001,340.312,0.142,6.4,32.17
0.798,1.569,2899.931,713.776,0.292,0.003,61.844,46.27,185.699,0.538,0.394,0.022,0.123,0.542,0.403,0.984,4.42e-4,0,0.023,0.175,0.152,-0.003,1010.899,0.001,340.31,0.144,6.4,32.17
0.811,1.647,2898.535,712.38,0.292,0.003,61.816,46.254,184.912,0.539,0.394,0.022,0.123,0.543,0.424,1.033,3.466e-4,0,0.023,0.175,0.153,-0.003,1010.824,0.001,340.307,0.146,6.4,32.17
0.824,1.719,2897.121,710.966,0.292,0.003,61.791,46.239,184.114,0.539,0.394,0.022,0.123,0.543,0.443,1.078,-2.239e-4,0,0.022,0.175,0.154,-0.002,1010.747,0.001,340.305,0.148,6.4,32.17
0.837,1.778,2895.697,709.541,0.292,0.003,61.77,46.223,183.311,0.539,0.394,0.022,0.123,0.544,0.459,1.116,4.185e-4,0,0.021,0.175,0.155,-0.002,1010.668,0.001,340.302,0.15,6.4,32.17
0.851,1.82,2894.389,708.233,0.292,0.003,61.756,46.209,182.575,0.539,0.394,0.022,0.123,0.544,0.47,1.143,-4.058e-4,0,0.02,0.175,0.156,-0.001,1010.587,0.001,340.299,0.152,6.4,32.17
0.864,1.762,2893.064,706.908,0.291,0.003,61.778,46.194,181.829,0.54,0.394,0.023,0.123,0.544,0.455,1.108,1.629e-4,0,0.019,0.175,0.156,-7.498e-4,1010.503,0.001,340.297,0.154,6.4,32.17
0.878,1.693,2891.723,705.568,0.291,0.003,61.804,46.179,181.074,0.54,0.394,0.023,0.123,0.544,0.436,1.065,4.507e-4,0,0.018,0.175,0.157,-4.454e-4,1010.418,0.001,340.294,0.156,6.4,32.17
0.892,1.612,2890.366,704.211,0.291,0.003,61.834,46.164,180.311,0.54,0.394,0.023,0.123,0.544,0.414,1.014,-1.082e-4,0,0.018,0.175,0.158,-2.257e-4,1010.33,0.001,340.291,0.159,6.4,32.17
0.906,1.565,2888.994,702.838,0.291,0.003,61.852,46.149,179.538,0.54,0.394,0.023,0.123,0.544,0.402,0.986,3.246e-4,0,0.017,0.176,0.158,-8.314e-5,1010.239,0.001,340.288,0.161,6.4,32.17
0.921,1.561,2887.604,701.449,0.291,0.003,61.855,46.133,178.756,0.541,0.394,0.023,0.123,0.544,0.401,0.985,1.34e-4,0,0.016,0.176,0.159,-9.739e-6,1010.147,0.001,340.285,0.163,6.4,32.17
0.935,1.541,2886.196,700.04,0.291,0.003,61.863,46.118,177.964,0.541,0.394,0.023,0.124,0.545,0.396,0.973,-3.182e-4,0,0.016,0.176,0.16,8.523e-6,1010.052,0.001,340.281,0.165,6.4,32.17
0.95,1.504,2884.769,698.614,0.29,0.003,61.878,46.102,177.161,0.541,0.394,0.024,0.124,0.545,0.386,0.952,-2.845e-4,0,0.015,0.176,0.16,7.988e-5,1009.954,0.001,340.278,0.167,6.4,32.17
0.965,1.435,2883.324,697.169,0.29,0.003,61.904,46.086,176.347,0.541,0.394,0.024,0.124,0.545,0.368,0.908,-3.02e-4,0,0.015,0.176,0.161,2.193e-4,1009.854,0.001,340.275,0.169,6.4,32.17
0.98,1.349,2881.861,695.706,0.29,0.003,61.937,46.069,175.524,0.542,0.394,0.024,0.124,0.544,0.345,0.855,2.494e-4,0,0.014,0.176,0.162,4.177e-4,1009.752,0.001,340.271,0.172,6.4,32.17
0.995,1.248,2880.38,694.225,0.29,0.003,61.976,46.053,174.691,0.542,0.394,0.024,0.124,0.544,0.318,0.791,1.413e-4,0,0.013,0.176,0.162,6.624e-4,1009.646,0.001,340.268,0.174,6.4,32.17
1.011,1.116,2878.881,692.726,0.29,0.003,62.026,46.036,173.847,0.542,0.394,0.024,0.124,0.544,0.284,0.708,-4.634e-4,0,0.013,0.176,0.163,9.359e-4,1009.538,0.001,340.264,0.176,6.4,32.17
1.027,0.964,2877.365,691.21,0.29,0.003,62.084,46.019,172.993,0.542,0.394,0.025,0.124,0.544,0.244,0.612,4.152e-4,0,0.013,0.176,0.163,0.001,1009.428,0.001,340.261,0.178,6.4,32.17
1.042,0.801,2875.831,689.676,0.29,0.003,62.147,46.002,172.13,0.543,0.394,0.025,0.124,0.544,0.202,0.508,3.765e-4,0,0.012,0.176,0.164,0.001,1009.314,0.001,340.257,0.181,6.4,32.17
1.058,0.654,2874.28,688.125,0.289,0.003,62.205,45.985,171.257,0.543,0.394,0.025,0.124,0.544,0.165,0.416,2.621e-4,0,0.012,0.176,0.164,0.002,1009.198,0.001,340.253,0.183,6.4,32.17
1.075,0.524,2872.711,686.556,0.289,0.003,62.256,45.967,170.374,0.543,0.393,0.025,0.124,0.544,0.131,0.333,2.874e-4,0,0.011,0.176,0.165,0.002,1009.08,0.001,340.249,0.185,6.4,32.17
