# Time (s),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reference length (cm),Reference area (cm²)
0,90,2993.196,807,0.302,0.003,NaN,47.265,0,0.705,0.568,0.017,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.01,89.371,2992.447,806.251,0.302,0.003,NaN,47.257,64.111,0.705,0.568,0.017,0.12,2.333e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.02,83.856,2991.698,805.502,0.302,0.003,NaN,47.249,128.222,0.705,0.568,0.017,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.03,73.394,2990.949,804.753,0.302,0.003,NaN,47.241,192.334,0.7,0.564,0.017,0.12,0.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.249,0.001,340.389,0.007,6.4,32.17
0.042,56.868,2990.05,803.854,0.301,0.003,NaN,47.232,269.267,0.683,0.546,0.017,0.12,0.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.248,0.001,340.389,0.008,6.4,32.17
0.045,52.777,2989.65,803.454,0.301,0.003,NaN,47.228,326.466,0.676,0.54,0.017,0.12,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.008,6.4,32.17
0.048,47.388,2989.068,802.872,0.301,0.003,NaN,47.222,311.56,0.667,0.53,0.017,0.12,0.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.009,6.4,32.17
0.054,41.163,2988.196,802,0.301,0.003,NaN,47.213,289.2,0.653,0.516,0.017,0.12,0.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.245,0.001,340.389,0.01,6.4,32.17
0.062,34.711,2986.887,800.691,0.301,0.003,NaN,47.199,255.66,0.636,0.499,0.017,0.12,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.242,0.001,340.389,0.012,6.4,32.17
0.07,30.754,2985.695,799.499,0.301,0.003,NaN,47.187,225.102,0.624,0.487,0.017,0.12,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.239,0.001,340.389,0.013,6.4,32.17
0.08,27.052,2984.506,798.31,0.301,0.003,NaN,47.175,214.247,0.611,0.474,0.017,0.12,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.234,0.001,340.388,0.015,6.4,32.17
0.091,24.009,2983.198,797.002,0.301,0.003,NaN,47.161,202.307,0.599,0.462,0.017,0.12,0.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.228,0.001,340.388,0.017,6.4,32.17
0.101,21.779,2981.984,795.788,0.301,0.003,NaN,47.148,208.8,0.59,0.453,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.221,0.001,340.388,0.018,6.4,32.17
0.111,19.768,2980.77,794.573,0.301,0.003,NaN,47.136,215.294,0.581,0.444,0.017,0.12,0.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.214,0.001,340.388,0.02,6.4,32.17
0.121,18.018,2979.556,793.359,0.3,0.003,NaN,47.123,221.787,0.573,0.436,0.017,0.12,0.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.206,0.001,340.387,0.022,6.4,32.17
0.131,16.488,2978.341,792.145,0.3,0.003,NaN,47.11,228.281,0.566,0.428,0.017,0.12,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.198,0.001,340.387,0.023,6.4,32.17
0.14,15.27,2977.249,791.053,0.3,0.003,NaN,47.099,234.125,0.559,0.422,0.017,0.12,0.722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.189,0.001,340.387,0.025,6.4,32.17
0.15,14.078,2975.914,789.718,0.3,0.003,NaN,47.085,235.963,0.553,0.415,0.017,0.12,0.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.179,0.001,340.387,0.027,6.4,32.17
0.16,13.1,2974.58,788.384,0.3,0.003,NaN,47.071,237.801,0.546,0.409,0.017,0.12,0.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.169,0.001,340.386,0.029,6.4,32.17
0.17,12.24,2973.246,787.049,0.3,0.003,NaN,47.057,239.64,0.541,0.404,0.017,0.12,0.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.157,0.001,340.386,0.031,6.4,32.17
0.18,11.502,2971.955,785.759,0.3,0.003,NaN,47.044,241.417,0.536,0.398,0.017,0.12,0.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.145,0.001,340.385,0.033,6.4,32.17
0.189,10.882,2970.745,784.549,0.299,0.003,59.062,47.031,243.084,0.532,0.395,0.017,0.12,0.644,3.377,6.348,1.762e-4,0,0.7,0.7,0,0,1013.133,0.001,340.385,0.035,6.4,32.17
0.196,10.404,2969.749,783.553,0.299,0.003,59.176,47.02,244.456,0.532,0.395,0.017,0.12,0.638,3.2,6.078,-2.276e-4,0,0.7,0.7,0,1.609e-5,1013.122,0.001,340.385,0.036,6.4,32.17
0.202,10.047,2968.976,782.78,0.299,0.003,59.263,47.012,245.522,0.532,0.395,0.017,0.12,0.633,3.07,5.877,-4.807e-4,0,0.7,0.7,0,4.921e-5,1013.114,0.001,340.384,0.038,6.4,32.17
0.208,9.657,2968.145,781.948,0.299,0.003,59.36,47.004,244.446,0.532,0.395,0.017,0.12,0.628,2.929,5.656,-3.77e-4,0,0.666,0.7,0.033,1.045e-4,1013.104,0.001,340.384,0.039,6.4,32.17
0.215,9.301,2967.331,781.135,0.299,0.003,59.45,46.995,243.393,0.532,0.395,0.017,0.12,0.623,2.803,5.454,2.196e-4,0,0.656,0.7,0.043,1.759e-4,1013.094,0.001,340.384,0.04,6.4,32.17
