# Time (s),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reference length (cm),Reference area (cm²)
0,90,2993.221,807,0.302,0.003,NaN,47.265,0,0.705,0.568,0.017,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.01,89.371,2992.471,806.251,0.302,0.003,NaN,47.257,64.111,0.705,0.568,0.017,0.12,2.333e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.02,83.856,2991.722,805.502,0.302,0.003,NaN,47.25,128.222,0.705,0.568,0.017,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.25,0.001,340.389,0.007,6.4,32.17
0.03,73.394,2990.973,804.753,0.302,0.003,NaN,47.242,192.334,0.7,0.564,0.017,0.12,0.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.249,0.001,340.389,0.007,6.4,32.17
0.042,56.868,2990.074,803.854,0.301,0.003,NaN,47.233,269.267,0.683,0.546,0.017,0.12,0.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.248,0.001,340.389,0.008,6.4,32.17
0.045,52.777,2989.674,803.454,0.301,0.003,NaN,47.228,326.466,0.676,0.54,0.017,0.12,0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.008,6.4,32.17
0.048,47.388,2989.093,802.872,0.301,0.003,NaN,47.222,311.56,0.667,0.53,0.017,0.12,0.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.247,0.001,340.389,0.009,6.4,32.17
0.054,41.164,2988.22,802,0.301,0.003,NaN,47.213,289.2,0.653,0.516,0.017,0.12,0.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.245,0.001,340.389,0.01,6.4,32.17
0.062,34.711,2986.912,800.691,0.301,0.003,NaN,47.2,255.66,0.636,0.499,0.017,0.12,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.242,0.001,340.389,0.012,6.4,32.17
0.07,30.754,2985.719,799.499,0.301,0.003,NaN,47.187,225.102,0.624,0.487,0.017,0.12,0.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1013.239,0.001,340.389,0.013,6.4,32.17
