# Time (s),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reference length (cm),Reference area (cm²)
0.274,6.853,2959.57,773.406,0.298,0.003,60.109,46.913,233.385,0.532,0.395,0.017,0.12,0.589,1.969,4.058,-4.062e-4,0,0.281,0.35,0.069,0.001,1012.985,0.001,340.38,0.053,6.4,32.17
0.282,6.611,2958.506,772.342,0.298,0.003,60.179,46.902,232.007,0.533,0.395,0.017,0.12,0.586,1.89,3.919,-1.855e-4,0,0.275,0.35,0.075,0.002,1012.967,0.001,340.379,0.054,6.4,32.17
0.29,6.391,2957.483,771.319,0.298,0.003,60.243,46.891,230.683,0.533,0.395,0.017,0.12,0.583,1.819,3.793,2.449e-4,0,0.269,0.35,0.081,0.002,1012.95,0.001,340.379,0.056,6.4,32.17
0.298,6.188,2956.495,770.332,0.298,0.003,60.302,46.881,229.404,0.533,0.395,0.018,0.12,0.581,1.754,3.677,1.01e-4,0,0.263,0.35,0.087,0.002,1012.933,0.001,340.378,0.057,6.4,32.17
0.305,6.025,2955.539,769.375,0.298,0.003,60.35,46.87,228.166,0.533,0.395,0.018,0.12,0.579,1.702,3.582,-2.479e-4,0,0.258,0.35,0.092,0.002,1012.916,0.001,340.378,0.059,6.4,32.17
0.312,5.883,2954.61,768.446,0.298,0.003,60.393,46.861,226.963,0.533,0.395,0.018,0.12,0.577,1.657,3.501,1.853e-4,0,0.252,0.35,0.098,0.003,1012.899,0.001,340.377,0.06,6.4,32.17
0.319,5.748,2953.706,767.542,0.298,0.003,60.433,46.851,225.792,0.533,0.395,0.018,0.12,0.575,1.615,3.424,-4.918e-5,0,0.247,0.35,0.103,0.003,1012.882,0.001,340.377,0.062,6.4,32.17
0.326,5.621,2952.823,766.66,0.298,0.003,60.472,46.842,224.65,0.533,0.395,0.018,0.121,0.574,1.575,3.351,2.193e-4,0,0.242,0.35,0.108,0.003,1012.866,0.001,340.376,0.063,6.4,32.17
0.333,5.5,2951.96,765.797,0.298,0.003,60.509,46.832,223.532,0.533,0.395,0.018,0.121,0.572,1.537,3.282,-1.717e-4,0,0.238,0.35,0.112,0.004,1012.849,0.001,340.375,0.064,6.4,32.17
0.339,5.385,2951.115,764.952,0.297,0.003,60.544,46.824,222.438,0.533,0.395,0.018,0.121,0.571,1.501,3.215,4.475e-4,0,0.233,0.35,0.117,0.004,1012.832,0.001,340.375,0.065,6.4,32.17
0.346,5.274,2950.286,764.122,0.297,0.003,60.578,46.815,221.364,0.533,0.395,0.018,0.121,0.57,1.467,3.151,2.422e-4,0,0.228,0.35,0.122,0.004,1012.815,0.001,340.374,0.067,6.4,32.17
0.349,5.22,2949.872,763.708,0.297,0.003,60.595,46.81,220.828,0.533,0.395,0.018,0.121,0.569,1.45,3.12,-3.379e-4,0,0.226,0.35,0.124,0.004,1012.807,0.001,340.374,0.067,6.4,32.17
0.354,5.115,2949.309,763.145,0.297,0.003,60.627,46.804,220.319,0.533,0.395,0.018,0.121,0.568,1.418,3.059,2.368e-4,0,0.223,0.35,0.127,0.004,1012.794,0.001,340.374,0.068,6.4,32.17
0.36,4.975,2948.584,762.42,0.297,0.003,60.671,46.797,219.663,0.533,0.395,0.018,0.121,0.566,1.375,2.976,-4.953e-4,0,0.218,0.35,0.132,0.005,1012.777,0.001,340.373,0.069,6.4,32.17
0.366,4.839,2947.87,761.706,0.297,0.003,60.714,46.789,219.017,0.533,0.395,0.018,0.121,0.565,1.334,2.897,4.56e-4,0,0.214,0.35,0.136,0.005,1012.76,0.001,340.372,0.07,6.4,32.17
0.372,4.708,2947.165,761.001,0.297,0.003,60.755,46.781,218.38,0.533,0.395,0.018,0.121,0.563,1.294,2.82,1.168e-4,0,0.21,0.35,0.14,0.005,1012.743,0.001,340.372,0.072,6.4,32.17
0.378,4.58,2946.469,760.305,0.297,0.003,60.796,46.774,217.751,0.533,0.395,0.018,0.121,0.562,1.256,2.745,1.553e-4,0,0.206,0.35,0.144,0.006,1012.727,0.001,340.371,0.073,6.4,32.17
0.384,4.457,2945.781,759.617,0.297,0.003,60.835,46.767,217.129,0.533,0.395,0.018,0.121,0.561,1.218,2.672,-3.629e-4,0,0.202,0.35,0.148,0.006,1012.71,0.001,340.371,0.074,6.4,32.17
0.39,4.336,2945.1,758.937,0.297,0.003,60.874,46.759,216.513,0.533,0.395,0.018,0.121,0.559,1.182,2.602,3.101e-4,0,0.198,0.35,0.152,0.006,1012.692,0.001,340.37,0.075,6.4,32.17
0.395,4.219,2944.427,758.263,0.297,0.003,60.912,46.752,215.904,0.533,0.395,0.018,0.121,0.558,1.148,2.533,4.671e-5,0,0.195,0.35,0.155,0.006,1012.675,0.001,340.37,0.076,6.4,32.17
0.401,4.104,2943.759,757.596,0.297,0.003,60.949,46.745,215.3,0.534,0.395,0.018,0.121,0.557,1.114,2.465,3.227e-4,0,0.191,0.35,0.159,0.007,1012.658,0.001,340.369,0.077,6.4,32.17
0.407,3.992,2943.097,756.934,0.297,0.003,60.986,46.738,214.702,0.534,0.395,0.018,0.121,0.556,1.081,2.4,-1.379e-4,0,0.188,0.35,0.162,0.007,1012.641,0.001,340.368,0.078,6.4,32.17
0.412,3.883,2942.441,756.277,0.297,0.003,61.022,46.731,214.108,0.534,0.395,0.018,0.121,0.555,1.049,2.334,-1.738e-4,0,0.184,0.35,0.166,0.007,1012.623,0.001,340.368,0.079,6.4,32.17
0.418,3.775,2941.789,755.625,0.297,0.003,61.057,46.724,213.519,0.534,0.395,0.018,0.121,0.554,1.017,2.271,1.759e-4,0,0.181,0.35,0.169,0.007,1012.606,0.001,340.367,0.08,6.4,32.17
0.423,3.67,2941.141,754.978,0.296,0.003,61.092,46.717,212.933,0.534,0.395,0.018,0.121,0.553,0.986,2.209,8.668e-5,0,0.177,0.35,0.173,0.008,1012.588,0.001,340.367,0.081,6.4,32.17
0.429,3.566,2940.498,754.334,0.296,0.003,61.127,46.71,212.352,0.534,0.395,0.018,0.121,0.552,0.956,2.146,-4.554e-4,0,0.174,0.35,0.176,0.008,1012.57,0.001,340.366,0.082,6.4,32.17
0.434,3.464,2939.858,753.695,0.296,0.003,61.161,46.703,211.773,0.534,0.395,0.018,0.121,0.551,0.927,2.087,-4.975e-4,0,0.171,0.35,0.179,0.008,1012.553,0.001,340.365,0.083,6.4,32.17
0.439,3.363,2939.222,753.058,0.296,0.003,61.195,46.697,211.197,0.534,0.395,0.018,0.121,0.55,0.898,2.026,2.25e-4,0,0.167,0.35,0.183,0.008,1012.535,0.001,340.365,0.084,6.4,32.17
0.445,3.264,2938.588,752.425,0.296,0.003,61.229,46.69,210.625,0.534,0.395,0.018,0.121,0.549,0.87,1.967,-2.983e-4,0,0.164,0.35,0.186,0.008,1012.517,0.001,340.364,0.085,6.4,32.17
0.45,3.167,2937.957,751.794,0.296,0.003,61.262,46.683,210.054,0.534,0.395,0.018,0.121,0.549,0.842,1.909,2.572e-4,0,0.161,0.35,0.189,0.009,1012.498,0.001,340.364,0.086,6.4,32.17
0.456,3.095,2937.329,751.165,0.296,0.003,61.287,46.676,209.486,0.534,0.395,0.019,0.121,0.548,0.822,1.867,-2.633e-4,0,0.158,0.35,0.192,0.009,1012.48,0.001,340.363,0.087,6.4,32.17
0.461,3.024,2936.703,750.539,0.296,0.003,61.311,46.67,208.92,0.534,0.395,0.019,0.121,0.547,0.802,1.825,-1.038e-4,0,0.155,0.35,0.195,0.009,1012.462,0.001,340.362,0.088,6.4,32.17
0.466,2.953,2936.078,749.915,0.296,0.003,61.336,46.663,208.355,0.534,0.395,0.019,0.121,0.547,0.782,1.783,-1.232e-4,0,0.152,0.35,0.198,0.009,1012.443,0.001,340.362,0.089,6.4,32.17
0.471,2.883,2935.456,749.292,0.296,0.003,61.36,46.656,207.792,0.534,0.395,0.019,0.121,0.546,0.762,1.741,-1.094e-4,0,0.15,0.35,0.201,0.009,1012.424,0.001,340.361,0.09,6.4,32.17
0.477,2.813,2934.834,748.671,0.296,0.003,61.384,46.649,207.23,0.534,0.395,0.019,0.121,0.546,0.742,1.699,4.987e-4,0,0.147,0.35,0.203,0.01,1012.405,0.001,340.361,0.091,6.4,32.17
0.482,2.743,2934.214,748.051,0.296,0.003,61.409,46.643,206.67,0.534,0.395,0.019,0.121,0.545,0.723,1.658,1.09e-4,0,0.144,0.35,0.206,0.01,1012.386,0.001,340.36,0.092,6.4,32.17
0.487,2.673,2933.595,747.432,0.296,0.003,61.433,46.636,206.11,0.534,0.395,0.019,0.121,0.545,0.703,1.615,-4.263e-4,0,0.141,0.35,0.209,0.01,1012.367,0.001,340.359,0.093,6.4,32.17
0.493,2.604,2932.977,746.814,0.296,0.003,61.458,46.629,205.551,0.534,0.394,0.019,0.121,0.545,0.684,1.574,1.421e-5,0,0.139,0.35,0.212,0.01,1012.347,0.001,340.359,0.093,6.4,32.17
0.498,2.534,2932.359,746.196,0.296,0.003,61.482,46.623,204.992,0.534,0.394,0.019,0.121,0.544,0.665,1.533,2.537e-4,0,0.136,0.35,0.214,0.01,1012.328,0.001,340.358,0.094,6.4,32.17
0.503,2.437,2931.742,745.579,0.295,0.003,61.517,46.616,204.434,0.534,0.394,0.019,0.121,0.543,0.638,1.474,4.851e-4,0,0.133,0.35,0.217,0.01,1012.308,0.001,340.357,0.095,6.4,32.17
0.508,2.321,2931.125,744.962,0.295,0.003,61.558,46.61,203.876,0.535,0.394,0.019,0.121,0.543,0.606,1.405,5.418e-5,0,0.131,0.35,0.219,0.01,1012.288,0.001,340.357,0.096,6.4,32.17
0.514,2.205,2930.508,744.344,0.295,0.003,61.599,46.603,203.318,0.535,0.394,0.019,0.121,0.542,0.574,1.335,4.861e-4,0,0.128,0.35,0.222,0.011,1012.268,0.001,340.356,0.097,6.4,32.17
0.519,2.091,2929.89,743.727,0.295,0.003,61.64,46.596,202.759,0.535,0.394,0.019,0.121,0.541,0.543,1.266,1.349e-4,0,0.126,0.35,0.224,0.011,1012.247,0.001,340.355,0.098,6.4,32.17
0.523,1.999,2929.39,743.226,0.295,0.003,61.673,46.591,202.307,0.535,0.394,0.019,0.121,0.541,0.518,1.21,8.413e-5,0,0.124,0.35,0.226,0.011,1012.231,0.001,340.355,0.099,6.4,32.17
0.528,1.887,2928.826,742.662,0.295,0.003,61.714,46.585,201.989,0.535,0.394,0.019,0.121,0.54,0.488,1.142,1.784e-4,0,0.121,0.35,0.229,0.011,1012.21,0.001,340.354,0.1,6.4,32.17
0.534,1.775,2928.261,742.098,0.295,0.003,61.755,46.579,201.671,0.535,0.394,0.019,0.121,0.54,0.458,1.075,3.136e-4,0,0.119,0.35,0.231,0.011,1012.189,0.001,340.353,0.101,6.4,32.17
0.539,1.665,2927.696,741.533,0.295,0.003,61.795,46.573,201.352,0.535,0.394,0.019,0.121,0.539,0.428,1.007,3.662e-4,0,0.117,0.35,0.233,0.011,1012.168,0.001,340.353,0.101,6.4,32.17
0.544,1.555,2927.13,740.966,0.295,0.003,61.835,46.566,201.033,0.535,0.394,0.019,0.121,0.539,0.399,0.941,3.887e-4,0,0.115,0.35,0.236,0.011,1012.146,0.001,340.352,0.102,6.4,32.17
0.549,1.447,2926.563,740.399,0.295,0.003,61.876,46.56,200.713,0.535,0.394,0.019,0.121,0.538,0.37,0.876,-4.759e-5,0,0.112,0.35,0.238,0.011,1012.125,0.001,340.351,0.103,6.4,32.17
0.555,1.379,2925.994,739.831,0.295,0.003,61.901,46.554,200.392,0.535,0.394,0.019,0.121,0.538,0.352,0.834,-2.363e-4,0,0.11,0.35,0.24,0.01,1012.103,0.001,340.35,0.104,6.4,32.17
0.56,1.316,2925.425,739.261,0.295,0.003,61.925,46.548,200.071,0.535,0.394,0.019,0.121,0.538,0.336,0.796,-6.469e-5,0,0.108,0.35,0.242,0.01,1012.081,0.001,340.35,0.105,6.4,32.17
0.565,1.253,2924.854,738.69,0.295,0.003,61.948,46.542,199.749,0.535,0.394,0.019,0.121,0.538,0.319,0.758,-4.599e-4,0,0.106,0.35,0.244,0.01,1012.058,0.001,340.349,0.106,6.4,32.17
0.571,1.192,2924.282,738.118,0.295,0.003,61.972,46.536,199.426,0.535,0.394,0.019,0.121,0.538,0.303,0.721,3.263e-4,0,0.104,0.35,0.246,0.01,1012.036,0.001,340.348,0.107,6.4,32.17
0.576,1.131,2923.708,737.545,0.295,0.003,61.995,46.529,199.103,0.535,0.394,0.019,0.122,0.537,0.287,0.684,-2.77e-4,0,0.102,0.35,0.249,0.01,1012.013,0.001,340.347,0.108,6.4,32.17
0.581,1.07,2923.133,736.969,0.295,0.003,62.018,46.523,198.779,0.535,0.394,0.02,0.122,0.537,0.271,0.648,-4.835e-4,0,0.1,0.35,0.251,0.009,1011.99,0.001,340.347,0.109,6.4,32.17
0.587,1.011,2922.556,736.392,0.294,0.003,62.041,46.517,198.453,0.535,0.394,0.02,0.122,0.537,0.256,0.613,-1.767e-4,0,0.098,0.35,0.252,0.009,1011.966,0.001,340.346,0.11,6.4,32.17
0.592,0.953,2921.977,735.814,0.294,0.003,62.063,46.511,198.127,0.536,0.394,0.02,0.122,0.537,0.241,0.577,2.417e-4,0,0.096,0.35,0.254,0.009,1011.943,0.001,340.345,0.111,6.4,32.17
0.598,0.896,2921.397,735.233,0.294,0.003,62.085,46.504,197.799,0.536,0.394,0.02,0.122,0.537,0.226,0.543,3.088e-4,0,0.094,0.35,0.256,0.008,1011.919,0.001,340.344,0.111,6.4,32.17
0.603,0.825,2920.814,734.651,0.294,0.003,62.113,46.498,197.471,0.536,0.394,0.02,0.122,0.537,0.208,0.5,-3.565e-4,0,0.092,0.35,0.258,0.007,1011.895,0.001,340.343,0.112,6.4,32.17
0.608,0.743,2920.229,734.066,0.294,0.003,62.144,46.492,197.141,0.536,0.394,0.02,0.122,0.537,0.187,0.451,4.025e-4,0,0.09,0.35,0.26,0.006,1011.87,0.001,340.343,0.113,6.4,32.17
0.614,0.667,2919.642,733.479,0.294,0.003,62.174,46.485,196.81,0.536,0.394,0.02,0.122,0.537,0.168,0.405,-7.006e-5,0,0.088,0.35,0.262,0.005,1011.845,0.001,340.342,0.114,6.4,32.17
0.619,0.597,2919.053,732.89,0.294,0.003,62.202,46.479,196.478,0.536,0.394,0.02,0.122,0.537,0.15,0.364,-2.713e-4,0,0.087,0.35,0.264,0.004,1011.82,0.001,340.341,0.115,6.4,32.17
0.625,0.537,2918.462,732.298,0.294,0.003,62.225,46.472,196.144,0.536,0.394,0.02,0.122,0.536,0.135,0.328,1.322e-4,0,0.085,0.35,0.265,0.003,1011.795,0.001,340.34,0.116,6.4,32.17
0.63,0.489,2917.867,731.704,0.294,0.003,62.244,46.466,195.809,0.536,0.394,0.02,0.122,0.536,0.122,0.301,3.064e-4,0,0.083,0.35,0.267,0.001,1011.769,0.001,340.339,0.117,6.4,32.17
0.636,0.457,2917.27,731.107,0.294,0.003,62.257,46.459,195.473,0.536,0.394,0.02,0.122,0.537,0.114,0.283,4.598e-4,0,0.082,0.35,0.269,1.956e-4,1011.743,0.001,340.338,0.118,6.4,32.17
0.642,0.445,2916.671,730.508,0.294,0.003,62.262,46.453,195.135,0.536,0.394,0.02,0.122,0.537,0.111,0.274,3.912e-4,0,0.08,0.35,0.27,-7.06e-5,1011.717,0.001,340.337,0.119,6.4,32.17
0.647,0.452,2916.069,729.905,0.294,0.003,62.259,46.446,194.795,0.536,0.394,0.02,0.122,0.537,0.113,0.28,-2.464e-4,0,0.078,0.35,0.272,-9.08e-4,1011.69,0.001,340.337,0.12,6.4,32.17
0.653,0.476,2915.464,729.3,0.294,0.003,62.249,46.44,194.454,0.536,0.394,0.02,0.122,0.537,0.119,0.297,-3.363e-4,0,0.077,0.35,0.274,-0.002,1011.663,0.001,340.336,0.121,6.4,32.17
0.658,0.511,2914.855,728.692,0.294,0.003,62.236,46.433,194.111,0.536,0.394,0.02,0.122,0.537,0.128,0.319,-4.646e-4,0,0.075,0.35,0.275,-0.003,1011.636,0.001,340.335,0.122,6.4,32.17
0.664,0.552,2914.244,728.081,0.294,0.003,62.22,46.427,193.766,0.537,0.394,0.02,0.122,0.537,0.138,0.346,2.664e-4,0,0.074,0.35,0.277,-0.004,1011.608,0.001,340.334,0.123,6.4,32.17
0.67,0.599,2913.63,727.467,0.294,0.003,62.202,46.42,193.42,0.537,0.394,0.02,0.122,0.537,0.15,0.376,1.567e-4,0,0.072,0.35,0.278,-0.005,1011.58,0.001,340.333,0.123,6.4,32.17
0.676,0.65,2913.013,726.85,0.293,0.003,62.182,46.413,193.072,0.537,0.394,0.02,0.122,0.537,0.163,0.408,1.882e-4,0,0.071,0.35,0.28,-0.006,1011.551,0.001,340.332,0.124,6.4,32.17
0.681,0.704,2912.393,726.229,0.293,0.003,62.162,46.406,192.722,0.537,0.394,0.021,0.122,0.538,0.177,0.442,-4.562e-4,0,0.069,0.351,0.281,-0.006,1011.523,0.001,340.331,0.125,6.4,32.17
0.687,0.76,2911.769,725.606,0.293,0.003,62.14,46.4,192.37,0.537,0.394,0.021,0.122,0.538,0.191,0.477,4.959e-4,0,0.068,0.351,0.283,-0.007,1011.494,0.001,340.33,0.126,6.4,32.17
0.693,0.817,2911.142,724.979,0.293,0.003,62.119,46.393,192.017,0.537,0.394,0.021,0.122,0.538,0.206,0.514,4.138e-5,0,0.067,0.351,0.284,-0.007,1011.464,0.001,340.329,0.127,6.4,32.17
0.699,0.875,2910.512,724.349,0.293,0.003,62.097,46.386,191.661,0.537,0.394,0.021,0.122,0.538,0.221,0.549,-8.569e-5,0,0.065,0.351,0.285,-0.007,1011.434,0.001,340.328,0.128,6.4,32.17
0.705,0.936,2909.878,723.715,0.293,0.003,62.074,46.379,191.304,0.537,0.394,0.021,0.122,0.539,0.237,0.588,-1.468e-4,0,0.064,0.351,0.287,-0.007,1011.404,0.001,340.327,0.129,6.4,32.17
0.711,0.998,2909.241,723.077,0.293,0.003,62.051,46.372,190.944,0.537,0.394,0.021,0.122,0.539,0.253,0.626,2.533e-4,0,0.063,0.351,0.288,-0.007,1011.373,0.001,340.326,0.13,6.4,32.17
0.717,1.059,2908.6,722.436,0.293,0.003,62.029,46.365,190.583,0.537,0.394,0.021,0.122,0.539,0.269,0.664,-4.189e-4,0,0.061,0.351,0.289,-0.007,1011.342,0.001,340.325,0.131,6.4,32.17
0.723,1.12,2907.955,721.792,0.293,0.003,62.006,46.358,190.219,0.537,0.394,0.021,0.122,0.539,0.284,0.702,1.825e-4,0,0.06,0.351,0.291,-0.007,1011.31,0.001,340.324,0.132,6.4,32.17
0.729,1.179,2907.307,721.143,0.293,0.003,61.984,46.351,189.854,0.537,0.394,0.021,0.122,0.54,0.3,0.739,3.607e-4,0,0.059,0.351,0.292,-0.006,1011.279,0.001,340.323,0.133,6.4,32.17
0.735,1.238,2906.654,720.491,0.293,0.003,61.962,46.344,189.486,0.538,0.394,0.021,0.122,0.54,0.315,0.776,-1.455e-4,0,0.058,0.351,0.293,-0.006,1011.246,0.001,340.322,0.134,6.4,32.17
0.741,1.296,2905.998,719.834,0.293,0.003,61.941,46.336,189.116,0.538,0.394,0.021,0.122,0.54,0.331,0.811,9.586e-5,0,0.056,0.351,0.294,-0.006,1011.213,0.001,340.32,0.135,6.4,32.17
0.747,1.352,2905.338,719.174,0.293,0.003,61.921,46.329,188.743,0.538,0.394,0.021,0.122,0.541,0.345,0.847,-1.255e-4,0,0.055,0.351,0.295,-0.006,1011.18,0.001,340.319,0.136,6.4,32.17
0.753,1.4,2904.673,718.51,0.293,0.003,61.904,46.322,188.369,0.538,0.394,0.021,0.122,0.541,0.358,0.877,2.899e-4,0,0.054,0.351,0.297,-0.005,1011.146,0.001,340.318,0.137,6.4,32.17
0.76,1.442,2904.005,717.842,0.293,0.003,61.889,46.315,187.992,0.538,0.394,0.021,0.122,0.541,0.369,0.903,1.184e-4,0,0.053,0.351,0.298,-0.005,1011.112,0.001,340.317,0.138,6.4,32.17
0.766,1.481,2903.333,717.169,0.292,0.003,61.874,46.307,187.613,0.538,0.394,0.021,0.123,0.541,0.38,0.928,-2.496e-5,0,0.052,0.351,0.299,-0.005,1011.078,0.001,340.316,0.139,6.4,32.17
